city,state_name,population
New York,New York,18832416
Los Angeles,California,11885717
Chicago,Illinois,8489066
Miami,Florida,6113982
Houston,Texas,6046392
Dallas,Texas,5843632
Philadelphia,Pennsylvania,5696588
Atlanta,Georgia,5211164
Washington,District of Columbia,5146120
Boston,Massachusetts,4355184
Phoenix,Arizona,4065338
Detroit,Michigan,3716929
Seattle,Washington,3555253
San Francisco,California,3364862
San Diego,California,3057778
Minneapolis,Minnesota,2906807
Tampa,Florida,2906035
Brooklyn,New York,2736074
Denver,Colorado,2691349
Queens,New York,2405464
Riverside,California,2288508
Las Vegas,Nevada,2256509
Baltimore,Maryland,2189589
St. Louis,Missouri,2127843
Portland,Oregon,2084045
San Antonio,Texas,2069843
Sacramento,California,1962998
Austin,Texas,1915031
Orlando,Florida,1913597
San Juan,Puerto Rico,1809800
San Jose,California,1771563
Indianapolis,Indiana,1740984
Pittsburgh,Pennsylvania,1712828
Cincinnati,Ohio,1704916
Manhattan,New York,1694263
Kansas City,Missouri,1686807
Cleveland,Ohio,1679247
Columbus,Ohio,1578153
Bronx,New York,1472654
Charlotte,North Carolina,1436613
Virginia Beach,Virginia,1431821
Jacksonville,Florida,1303156
Milwaukee,Wisconsin,1290221
Providence,Rhode Island,1270529
Nashville,Tennessee,1178679
Salt Lake City,Utah,1169033
Raleigh,North Carolina,1150010
Richmond,Virginia,1081248
Memphis,Tennessee,1033394
Oklahoma City,Oklahoma,1000207
Hartford,Connecticut,969171
Louisville,Kentucky,965005
Buffalo,New York,949547
Fort Worth,Texas,941311
Bridgeport,Connecticut,921660
New Orleans,Louisiana,918752
Tucson,Arizona,879871
El Paso,Texas,862494
Omaha,Nebraska,826161
McAllen,Texas,810034
Birmingham,Alabama,778756
Albuquerque,New Mexico,767499
Tulsa,Oklahoma,740620
Charleston,South Carolina,726389
Fresno,California,724547
Rochester,New York,694707
Dayton,Ohio,667936
Cape Coral,Florida,656464
Provo,Utah,639820
Colorado Springs,Colorado,638421
Mission Viejo,California,634674
Allentown,Pennsylvania,632175
Baton Rouge,Louisiana,630063
Ogden,Utah,623688
Knoxville,Tennessee,618226
Grand Rapids,Michigan,611480
Columbia,South Carolina,605083
Albany,New York,602242
Bakersfield,California,578542
New Haven,Connecticut,565056
Des Moines,Iowa,560170
Palm Bay,Florida,547659
Akron,Ohio,538659
Concord,California,525233
Mesa,Arizona,507478
Wichita,Kansas,501760
Harrisburg,Pennsylvania,499494
Staten Island,New York,495747
Toledo,Ohio,492076
Worcester,Massachusetts,487014
Port St. Lucie,Florida,473733
Little Rock,Arkansas,467846
Madison,Wisconsin,460255
Spokane,Washington,458988
Long Beach,California,458491
Denton,Texas,455152
Reno,Nevada,454814
Boise,Idaho,449428
Bonita Springs,Florida,445500
Kissimmee,Florida,442790
Augusta,Georgia,439361
Springfield,Massachusetts,438889
Oakland,California,438072
Winston-Salem,North Carolina,434231
Stockton,California,416005
Durham,North Carolina,411362
Chattanooga,Tennessee,410795
Greenville,South Carolina,408626
Lancaster,Pennsylvania,408023
Syracuse,New York,407625
Fayetteville,Arkansas,405556
Pensacola,Florida,401535
Arlington,Texas,394769
Aurora,Colorado,390201
Scranton,Pennsylvania,375462
Oxnard,California,373423
Indio,California,371926
Victorville,California,363596
Trenton,New Jersey,362501
Huntsville,Alabama,359389
Modesto,California,355686
Honolulu,Hawaii,346323
Greensboro,North Carolina,345858
Fort Wayne,Indiana,345279
Anaheim,California,344553
Corpus Christi,Texas,339432
Fort Collins,Colorado,339256
Antioch,California,333347
Jackson,Mississippi,331332
Fayetteville,North Carolina,326821
Myrtle Beach,South Carolina,325829
Henderson,Nevada,324523
Mobile,Alabama,324067
Lexington,Kentucky,321122
Lansing,Michigan,318001
Savannah,Georgia,316446
Youngstown,Ohio,315751
Ann Arbor,Michigan,314647
Santa Ana,California,311639
Irvine,California,308160
St. Paul,Minnesota,307762
Poughkeepsie,New York,307738
Newark,New Jersey,307188
Santa Rosa,California,299986
Concord,North Carolina,297379
Winter Haven,Florida,296830
Asheville,North Carolina,295040
Canton,Ohio,293657
Lincoln,Nebraska,293055
Flint,Michigan,291688
Lakeland,Florida,290762
Jersey City,New Jersey,289691
Anchorage,Alaska,289069
Springfield,Missouri,289041
Plano,Texas,287339
Lubbock,Texas,283024
Davenport,Iowa,282356
Reading,Pennsylvania,280030
Salt Lake City,Utah,1169033
Provo,Utah,639820
Ogden,Utah,623688
St. George,Utah,147347
West Valley City,Utah,137955
Logan,Utah,122915
West Jordan,Utah,116277
Orem,Utah,97048
Sandy,Utah,94723
Layton,Utah,82512
Lehi,Utah,81039
South Jordan,Utah,80331
Millcreek,Utah,63342
Taylorsville,Utah,59010
Herriman,Utah,57336
Draper,Utah,50159
Murray,Utah,49904
Eagle Mountain,Utah,49514
Bountiful,Utah,45093
Riverton,Utah,44944
Saratoga Springs,Utah,44070
Spanish Fork,Utah,43632
Roy,Utah,39021
Pleasant Grove,Utah,37544
Tooele,Utah,37265
Cedar City,Utah,37202
Kearns,Utah,37058
Midvale,Utah,35736
Springville,Utah,35474
American Fork,Utah,35312
Syracuse,Utah,34009
Cottonwood Heights,Utah,32984
Clearfield,Utah,32895
Kaysville,Utah,32861
Holladay,Utah,31236
Washington,Utah,30686
Magna,Utah,29488
South Salt Lake,Utah,26277
Farmington,Utah,24934
Clinton,Utah,23492
North Salt Lake,Utah,23239
Payson,Utah,22205
Hurricane,Utah,21677
North Ogden,Utah,21473
West Haven,Utah,19977
Brigham City,Utah,19796
Highland,Utah,19625
Bluffdale,Utah,18168
South Ogden,Utah,17563
Heber,Utah,17438
Centerville,Utah,16692
Santaquin,Utah,15391
Smithfield,Utah,14033
Grantsville,Utah,13637
Vineyard,Utah,13510
Mapleton,Utah,12340
Lindon,Utah,11594
West Point,Utah,11559
Woods Cross,Utah,11490
North Logan,Utah,11228
Stansbury Park,Utah,11163
Pleasant View,Utah,11104
Tremonton,Utah,10886
Alpine,Utah,10272
Vernal,Utah,10254
Hyrum,Utah,10022
Cedar Hills,Utah,9945
Salem,Utah,9893
Ivins,Utah,9524
Riverdale,Utah,9294
Hooper,Utah,9220
Washington Terrace,Utah,9196
Providence,Utah,8675
Summit Park,Utah,8545
Park City,Utah,8365
Price,Utah,8216
Richfield,Utah,8173
Plain City,Utah,8101
South Weber,Utah,8037
Santa Clara,Utah,7891
Farr West,Utah,7881
Enoch,Utah,7856
Nibley,Utah,7651
Roosevelt,Utah,6960
Harrisville,Utah,6919
Nephi,Utah,6700
Snyderville,Utah,6143
Midway,Utah,6110
Fruit Heights,Utah,6036
West Bountiful,Utah,5920
Ephraim,Utah,5805
Perry,Utah,5708
White City,Utah,5568
Sunset,Utah,5567
Hyde Park,Utah,5410
Moab,Utah,5316
Kanab,Utah,4950
Elk Ridge,Utah,4782
Maeser,Utah,4533
La Verkin,Utah,4429
Morgan,Utah,4268
Wellsville,Utah,4120
Mountain Green,Utah,3739
Mount Pleasant,Utah,3737
Delta,Utah,3675
Beaver,Utah,3632
East Basin,Utah,3613
Gunnison,Utah,3537
Manti,Utah,3532
Blanding,Utah,3303
Erda,Utah,3294
Naples,Utah,3217
Parowan,Utah,3095
Richmond,Utah,2971
Lake Point,Utah,2938
Helper,Utah,2680
Fillmore,Utah,2633
Garland,Utah,2609
Monroe,Utah,2570
Salina,Utah,2521
Huntington,Utah,2271
Kamas,Utah,2229
Lewiston,Utah,2225
River Heights,Utah,2179
Toquerville,Utah,2115
Willard,Utah,2008
Monticello,Utah,1941
Coalville,Utah,1915
Marriott-Slaterville,Utah,1885
Panguitch,Utah,1871
Benson,Utah,1864
Millville,Utah,1820
Oakley,Utah,1812
Francis,Utah,1797
Genola,Utah,1766
Duchesne,Utah,1744
Ballard,Utah,1648
Mona,Utah,1647
Elwood,Utah,1643
Mantua,Utah,1642
Wolf Creek,Utah,1599
Silver Summit,Utah,1574
Enterprise,Utah,1543
Fountain Green,Utah,1539
Wellington,Utah,1526
Emigration Canyon,Utah,1465
Castle Dale,Utah,1463
Uintah,Utah,1461
Mendon,Utah,1446
Woodland Hills,Utah,1439
Carbonville,Utah,1410
Milford,Utah,1400
Apple Valley,Utah,1399
Fairview,Utah,1389
Honeyville,Utah,1383
South Willard,Utah,1378
West Mountain,Utah,1371
Ferron,Utah,1361
Liberty,Utah,1333
Centerfield,Utah,1312
Hildale,Utah,1301
Orangeville,Utah,1281
Wendover,Utah,1264
Lake Shore,Utah,1242
Riverside,Utah,1238
Moroni,Utah,1238
Hideout,Utah,1111
Spring City,Utah,1094
Thatcher,Utah,1094
Timber Lakes,Utah,966
Dammeron Valley,Utah,962
Daniel,Utah,956
Eureka,Utah,941
Spanish Valley,Utah,925
Spring Glen,Utah,925
Minersville,Utah,901
Rocky Ridge,Utah,901
Newton,Utah,899
Stockton,Utah,897
Levan,Utah,886
Aurora,Utah,881
Eden,Utah,873
Orderville,Utah,865
Copperton,Utah,865
Bear River City,Utah,863
Henefer,Utah,855
Corinne,Utah,836
Goshen,Utah,833
West Wood,Utah,833
Hinckley,Utah,832
Granite,Utah,813
Paradise,Utah,806
Green River,Utah,804